sequence_no,chapter,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,Shapes and Angles,multiple_choice,Easy,1,What type of angle is shown?,Right,/session_materials/34/images/g5_math_img_q01.svg,"[{""option_text"": ""Acute"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Straight"", ""is_correct"": false, ""option_image"": """"}]"
2,Shapes and Angles,multiple_choice,Easy,1,What type of angle is shown?,Acute,/session_materials/34/images/g5_math_img_q02.svg,"[{""option_text"": ""Acute"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Reflex"", ""is_correct"": false, ""option_image"": """"}]"
3,Shapes and Angles,multiple_choice,Easy,1,What type of angle is shown?,Obtuse,/session_materials/34/images/g5_math_img_q03.svg,"[{""option_text"": ""Acute"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Straight"", ""is_correct"": false, ""option_image"": """"}]"
4,Shapes and Angles,multiple_choice,Easy,1,How many sides does the polygon in the image have?,5,/session_materials/34/images/g5_math_img_q04.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
5,Shapes and Angles,multiple_choice,Easy,1,"The triangle has side lengths 4 cm, 4 cm and 4 cm. What is it called?",Equilateral,/session_materials/34/images/g5_math_img_q05.svg,"[{""option_text"": ""Scalene"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Isosceles"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equilateral"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}]"
6,Does It Look the Same?,multiple_choice,Medium,1,How many lines of symmetry does this square have?,4,/session_materials/34/images/g5_math_img_q06.svg,"[{""option_text"": ""1"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""2"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""3"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""4"", ""is_correct"": true, ""option_image"": """"}]"
7,Does It Look the Same?,multiple_choice,Medium,1,The mirror line is vertical. Which statement is true?,Left and right match,/session_materials/34/images/g5_math_img_q07.svg,"[{""option_text"": ""Left and right match"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Top and bottom match"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""No matching parts"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only corners match"", ""is_correct"": false, ""option_image"": """"}]"
8,How Many Squares?,multiple_choice,Easy,1,How many shaded squares are there?,8,/session_materials/34/images/g5_math_img_q08.svg,"[{""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": false, ""option_image"": """"}]"
9,How Many Squares?,multiple_choice,Easy,1,How many total small squares are in the grid?,20,/session_materials/34/images/g5_math_img_q09.svg,"[{""option_text"": ""12"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""16"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""20"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""24"", ""is_correct"": false, ""option_image"": """"}]"
10,Area and Its Boundary,fill_in_blank,Easy,1,Fill in the blank: Area of this rectangle is ____ sq cm.,24,/session_materials/34/images/g5_math_img_q10.svg,[]
11,Area and Its Boundary,fill_in_blank,Easy,1,Fill in the blank: Perimeter of this rectangle is ____ cm.,20,/session_materials/34/images/g5_math_img_q11.svg,[]
12,Area and Its Boundary,multiple_choice,Medium,1,What is the area of the L-shape?,21 sq units,/session_materials/34/images/g5_math_img_q12.svg,"[{""option_text"": ""16 sq units"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""19 sq units"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""21 sq units"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""25 sq units"", ""is_correct"": false, ""option_image"": """"}]"
13,Mapping Your Way,multiple_choice,Medium,1,"In the map, what is the shortest path length from H to S (in grid steps)?",5,/session_materials/34/images/g5_math_img_q13.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
14,Mapping Your Way,multiple_choice,Medium,1,"From P to L, move 2 right and 3 up. Where do you reach?",Point C,/session_materials/34/images/g5_math_img_q14.svg,"[{""option_text"": ""Point A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Point B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Point C"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Point D"", ""is_correct"": false, ""option_image"": """"}]"
15,Mapping Your Way,short_answer,Easy,2,Use the map and write the coordinates of point B.,"(4,2)",/session_materials/34/images/g5_math_img_q15.svg,[]
16,Mapping Your Way,short_answer,Medium,2,"How many grid steps from A(1,1) to C(5,4) if you move only right and up?",7,/session_materials/34/images/g5_math_img_q16.svg,[]
17,Boxes and Sketches,multiple_choice,Medium,1,Which net can fold into a cube?,Image 17 (this net),/session_materials/34/images/g5_math_img_q17.svg,"[{""option_text"": ""Image 17 (this net)"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""A line of 6 squares"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""A plus with 7 squares"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Any 6 squares"", ""is_correct"": false, ""option_image"": """"}]"
18,Boxes and Sketches,multiple_choice,Medium,1,Can this net fold into a cube?,No,/session_materials/34/images/g5_math_img_q18.svg,"[{""option_text"": ""Yes"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Only if cut"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
19,Boxes and Sketches,multiple_choice,Medium,1,How many cubes are stacked in this block figure?,9,/session_materials/34/images/g5_math_img_q19.svg,"[{""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""10"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""11"", ""is_correct"": false, ""option_image"": """"}]"
20,Smart Charts,multiple_choice,Easy,1,Which fruit has the highest sales?,Mango,/session_materials/34/images/g5_math_img_q20.svg,"[{""option_text"": ""Apple"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Banana"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Mango"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Grapes"", ""is_correct"": false, ""option_image"": """"}]"
21,Smart Charts,multiple_choice,Easy,1,How many more Mangoes than Apples were sold?,4,/session_materials/34/images/g5_math_img_q21.svg,"[{""option_text"": ""2"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""3"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""4"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}]"
22,Area and Its Boundary,multiple_choice,Easy,1,What fraction of the strip is shaded?,3/6,/session_materials/34/images/g5_math_img_q22.svg,"[{""option_text"": ""2/6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""3/6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""4/6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5/6"", ""is_correct"": false, ""option_image"": """"}]"
23,Area and Its Boundary,multiple_choice,Easy,1,What is the unshaded fraction of the strip?,3/6,/session_materials/34/images/g5_math_img_q23.svg,"[{""option_text"": ""1/6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""2/6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""3/6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""4/6"", ""is_correct"": false, ""option_image"": """"}]"
24,How Many Squares?,multiple_choice,Easy,1,How many small squares are needed to make a 6 by 4 rectangle?,24,/session_materials/34/images/g5_math_img_q24.svg,"[{""option_text"": ""20"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""22"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""24"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""26"", ""is_correct"": false, ""option_image"": """"}]"
25,How Many Squares?,fill_in_blank,Easy,1,Fill in the blank: Number of small squares in the image is ____.,24,/session_materials/34/images/g5_math_img_q25.svg,[]
26,Shapes and Angles,short_answer,Medium,2,One angle is 35 deg and together they make a right angle. Find the other angle.,55 deg,/session_materials/34/images/g5_math_img_q26.svg,[]
27,Area and Its Boundary,short_answer,Medium,2,Find the perimeter of the rectangle shown.,26 cm,/session_materials/34/images/g5_math_img_q27.svg,[]
28,Area and Its Boundary,short_answer,Medium,2,Find the area of the rectangle shown.,40 sq cm,/session_materials/34/images/g5_math_img_q28.svg,[]
29,Smart Charts,short_answer,Medium,2,Write total of all bars in the chart.,19,/session_materials/34/images/g5_math_img_q29.svg,[]
30,Shapes and Angles,fill_in_blank,Easy,1,Fill in the blank: The straight angle is ____ deg.,180,/session_materials/34/images/g5_math_img_q30.svg,[]
