"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"current_question_count"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"image_required"	"target_questions_with_images"	"image_root_path"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"934"	"1"	"Chapter 1: Rational Numbers"	"1"	"1_rational_numbers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_934.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"935"	"2"	"Chapter 2: Exponents"	"1"	"2_exponents.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_935.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"936"	"3"	"Chapter 3: Squares and Square Roots"	"1"	"3_squares_and_square_roots.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_936.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"937"	"4"	"Chapter 4: Cubes and Cube Roots"	"1"	"4_cubes_and_cube_roots.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_937.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"938"	"5"	"Chapter 5: Playing with Numbers"	"1"	"5_playing_with_numbers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_938.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"939"	"6"	"Chapter 6: Operations on Algebraic Expressions"	"1"	"6_operations_on_algebraic_expressions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_939.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"940"	"7"	"Chapter 7: Factorisation"	"1"	"7_factorisation.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_940.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"941"	"8"	"Chapter 8: Linear Equations"	"1"	"8_linear_equations.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_941.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"942"	"9"	"Chapter 9: Percentage"	"1"	"9_percentage.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_942.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"943"	"10"	"Chapter 10: Profit and Loss"	"1"	"10_profit_and_loss.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_943.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"944"	"11"	"Chapter 11: Compound Interest"	"1"	"11_compound_interest.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_944.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"945"	"12"	"Chapter 12: Direct and Inverse Proportions"	"1"	"12_direct_and_inverse_proportions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_945.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"946"	"13"	"Chapter 13: Time and Work"	"1"	"13_time_and_work.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_946.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"947"	"14"	"Chapter 14: Polygons"	"1"	"14_polygons.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_947.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"948"	"15"	"Chapter 15: Quadrilaterals"	"1"	"15_quadrilaterals.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_948.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"949"	"16"	"Chapter 16: Parallelograms"	"1"	"16_parallelograms.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_949.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"950"	"17"	"Chapter 17: Construction of Quadrilaterals"	"1"	"17_construction_of_quadrilaterals.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_950.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"951"	"18"	"Chapter 18: Area of a Trapezium and a Polygon"	"1"	"18_area_of_a_trapezium_and_a_polygon.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_951.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"952"	"19"	"Chapter 19: Three-Dimensional Figures"	"1"	"19_three_dimensional_figures.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_952.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"953"	"20"	"Chapter 20: Volume and Surface Area of Solids"	"1"	"20_volume_and_surface_area_of_solids.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_953.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"954"	"21"	"Chapter 21: Data Handling"	"1"	"21_data_handling.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_954.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"955"	"22"	"Chapter 22: Introduction to Coordinate Geometry"	"1"	"22_introduction_to_coordinate_geometry.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_955.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"956"	"23"	"Chapter 23: Line Graphs and Linear Graphs"	"1"	"23_line_graphs_and_linear_graphs.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_956.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"957"	"24"	"Chapter 24: Pie Charts"	"1"	"24_pie_charts.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"YES"	"11"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_957.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"958"	"25"	"Chapter 25: Probability"	"1"	"25_probability.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_958.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"959"	"26"	"Chapter 26: Activities"	"1"	"26_activities.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_959.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"1848"	"27"	"Miscellaneous Session"	"1"	"miscellaneous_session.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/65/images"	"/opt/robodynamics/session_materials/65/qbank/chapter_1848.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1975"	"1"	"Chapter 1: Integers"	"1"	"01_integers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1975.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1976"	"2"	"Chapter 2: Fractions"	"1"	"02_fractions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1976.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1977"	"3"	"Chapter 3: Decimals"	"1"	"03_decimals.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1977.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1978"	"4"	"Chapter 4: Rational Numbers"	"1"	"04_rational_numbers.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1978.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1979"	"5"	"Chapter 5: Exponents"	"1"	"05_exponents.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1979.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1980"	"6"	"Chapter 6: Algebraic Expressions"	"1"	"06_algebraic_expressions.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1980.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1981"	"7"	"Chapter 7: Linear Equations in One Variable"	"1"	"07_linear_equations_one_variable.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1981.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1982"	"8"	"Chapter 8: Ratio and Proportion"	"1"	"08_ratio_and_proportion.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1982.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1983"	"9"	"Chapter 9: Unitary Method"	"1"	"09_unitary_method.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1983.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1984"	"10"	"Chapter 10: Percentage"	"1"	"10_percentage.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1984.json"	"PENDING"	"PENDING"
"WAVE_M1"	"101"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"1985"	"11"	"Chapter 11: Profit and Loss"	"1"	"11_profit_and_loss.pdf"	"0"	"45"	"20"	"12"	"8"	"5"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/149/images"	"/opt/robodynamics/session_materials/149/qbank/chapter_1985.json"	"PENDING"	"PENDING"
