"question_code","section_code","question_type","sequence_no","question_text"
"AP3_CORE_026","CORE_APTITUDE","MCQ","38","Core aptitude (quant): If 26 practice sheets cost 624 rupees, what is the cost of 9 sheets?"
"AP2_CORE_09","CORE_APTITUDE","MCQ","39","Quantitative: If a speed increases from 40 km/h to 50 km/h, percentage increase is:"
"AP3_CORE_027","CORE_APTITUDE","MCQ","39","Core aptitude (quant): If 12 practice sheets cost 312 rupees, what is the cost of 11 sheets?"
"AP2_CORE_10","CORE_APTITUDE","MCQ","40","Verbal inference: Which statement is strongest when evidence is incomplete?"
"AP3_CORE_028","CORE_APTITUDE","MCQ","40","Core aptitude (quant): If 14 practice sheets cost 392 rupees, what is the cost of 13 sheets?"
"AP2_CORE_11","CORE_APTITUDE","MCQ","41","Logical puzzle: If no A is B, and some C are B, then which is definitely true?"
"AP3_CORE_029","CORE_APTITUDE","MCQ","41","Core aptitude (quant): If 16 practice sheets cost 480 rupees, what is the cost of 15 sheets?"
"AP2_CORE_12","CORE_APTITUDE","MCQ","42","Numeric reasoning: A test has 80 questions and you solved 60%. How many were solved?"
"AP3_CORE_030","CORE_APTITUDE","MCQ","42","Core aptitude (quant): If 18 practice sheets cost 252 rupees, what is the cost of 17 sheets?"
"AP3_CORE_031","CORE_APTITUDE","MCQ","43","Core aptitude (numeric): Score increases from 80 to 88. Percentage increase is:"
"AP3_CORE_032","CORE_APTITUDE","MCQ","44","Core aptitude (numeric): Score increases from 100 to 115. Percentage increase is:"
"AP3_CORE_033","CORE_APTITUDE","MCQ","45","Core aptitude (numeric): Score increases from 120 to 144. Percentage increase is:"
"AP3_CORE_034","CORE_APTITUDE","MCQ","46","Core aptitude (numeric): Score increases from 140 to 175. Percentage increase is:"
"AP3_CORE_035","CORE_APTITUDE","MCQ","47","Core aptitude (numeric): Score increases from 160 to 208. Percentage increase is:"
"AP3_CORE_036","CORE_APTITUDE","MCQ","48","Core aptitude (numeric): Score increases from 180 to 252. Percentage increase is:"
"AP3_CORE_037","CORE_APTITUDE","MCQ","49","Core aptitude (numeric): Score increases from 200 to 220. Percentage increase is:"
"AP3_CORE_038","CORE_APTITUDE","MCQ","50","Core aptitude (numeric): Score increases from 220 to 253. Percentage increase is:"
"AP3_CORE_039","CORE_APTITUDE","MCQ","51","Core aptitude (numeric): Score increases from 80 to 96. Percentage increase is:"
"AP3_CORE_040","CORE_APTITUDE","MCQ","52","Core aptitude (numeric): Score increases from 100 to 125. Percentage increase is:"
"AP3_CORE_041","CORE_APTITUDE","MCQ","53","Core aptitude (numeric): Score increases from 120 to 156. Percentage increase is:"
"AP3_CORE_042","CORE_APTITUDE","MCQ","54","Core aptitude (numeric): Score increases from 140 to 196. Percentage increase is:"
"AP3_CORE_043","CORE_APTITUDE","MCQ","55","Core aptitude (numeric): Score increases from 160 to 176. Percentage increase is:"
"AP3_CORE_044","CORE_APTITUDE","MCQ","56","Core aptitude (numeric): Score increases from 180 to 207. Percentage increase is:"
"AP3_CORE_045","CORE_APTITUDE","MCQ","57","Core aptitude (numeric): Score increases from 200 to 240. Percentage increase is:"
"AP3_CORE_046","CORE_APTITUDE","MCQ","58","Core aptitude (numeric): Score increases from 220 to 275. Percentage increase is:"
"AP3_CORE_047","CORE_APTITUDE","MCQ","59","Core aptitude (numeric): Score increases from 80 to 104. Percentage increase is:"
"AP3_CORE_048","CORE_APTITUDE","MCQ","60","Core aptitude (numeric): Score increases from 100 to 140. Percentage increase is:"
"AP3_CORE_049","CORE_APTITUDE","MCQ","61","Core aptitude (numeric): Score increases from 120 to 132. Percentage increase is:"
"AP3_CORE_050","CORE_APTITUDE","MCQ","62","Core aptitude (numeric): Score increases from 140 to 161. Percentage increase is:"
"AP3_CORE_051","CORE_APTITUDE","MCQ","63","Core aptitude (numeric): Score increases from 160 to 192. Percentage increase is:"
"AP3_CORE_052","CORE_APTITUDE","MCQ","64","Core aptitude (numeric): Score increases from 180 to 225. Percentage increase is:"
"AP3_CORE_053","CORE_APTITUDE","MCQ","65","Core aptitude (numeric): Score increases from 200 to 260. Percentage increase is:"
"AP3_CORE_054","CORE_APTITUDE","MCQ","66","Core aptitude (numeric): Score increases from 220 to 308. Percentage increase is:"
"AP3_CORE_055","CORE_APTITUDE","MCQ","67","Core aptitude (pattern): 2, 5, 8, 11, ?"
"AP3_CORE_056","CORE_APTITUDE","MCQ","68","Core aptitude (pattern): 3, 7, 11, 15, ?"
"AP3_CORE_057","CORE_APTITUDE","MCQ","69","Core aptitude (pattern): 4, 9, 14, 19, ?"
"AP3_CORE_058","CORE_APTITUDE","MCQ","70","Core aptitude (pattern): 5, 11, 17, 23, ?"
"AP3_CORE_059","CORE_APTITUDE","MCQ","71","Core aptitude (pattern): 6, 13, 20, 27, ?"
"AP3_CORE_060","CORE_APTITUDE","MCQ","72","Core aptitude (pattern): 7, 10, 13, 16, ?"
"AP3_CORE_061","CORE_APTITUDE","MCQ","73","Core aptitude (pattern): 8, 12, 16, 20, ?"
"AP3_CORE_062","CORE_APTITUDE","MCQ","74","Core aptitude (pattern): 9, 14, 19, 24, ?"
"AP3_CORE_063","CORE_APTITUDE","MCQ","75","Core aptitude (pattern): 10, 16, 22, 28, ?"
"AP3_CORE_064","CORE_APTITUDE","MCQ","76","Core aptitude (pattern): 11, 18, 25, 32, ?"
"AP3_CORE_065","CORE_APTITUDE","MCQ","77","Core aptitude (pattern): 12, 15, 18, 21, ?"
"AP3_CORE_066","CORE_APTITUDE","MCQ","78","Core aptitude (pattern): 13, 17, 21, 25, ?"
"AP3_CORE_067","CORE_APTITUDE","MCQ","79","Core aptitude (pattern): 14, 19, 24, 29, ?"
"AP3_CORE_068","CORE_APTITUDE","MCQ","80","Core aptitude (pattern): 15, 21, 27, 33, ?"
"AP3_CORE_069","CORE_APTITUDE","MCQ","81","Core aptitude (pattern): 16, 23, 30, 37, ?"
"AP3_CORE_070","CORE_APTITUDE","MCQ","82","Core aptitude (pattern): 17, 20, 23, 26, ?"
"AP3_CORE_071","CORE_APTITUDE","MCQ","83","Core aptitude (pattern): 18, 22, 26, 30, ?"
"AP3_CORE_072","CORE_APTITUDE","MCQ","84","Core aptitude (pattern): 19, 24, 29, 34, ?"
"AP3_CORE_073","CORE_APTITUDE","MCQ","85","All coders are problem-solvers. Some mentors are coders. Which follows?"
"AP3_CORE_074","CORE_APTITUDE","MCQ","86","No A is B. Some C are B. Which is definitely true?"
"AP3_CORE_075","CORE_APTITUDE","MCQ","87","All planners track tasks. Riya tracks tasks. Best conclusion?"
"AP3_CORE_076","CORE_APTITUDE","MCQ","88","If all X are Y and all Y are Z, then:"
"AP3_CORE_077","CORE_APTITUDE","MCQ","89","Some students are artists. All artists are disciplined. Which follows?"
"AP3_CORE_078","CORE_APTITUDE","MCQ","90","If P implies Q and Q implies R, then P implies:"
"AP3_CORE_079","CORE_APTITUDE","MCQ","91","All mock tests improve speed. This is a mock test. Therefore:"
"AP3_CORE_080","CORE_APTITUDE","MCQ","92","No doctor is careless. Some interns are doctors. Therefore:"
"AP3_CORE_081","CORE_APTITUDE","MCQ","93","All structured plans reduce chaos. Weekly planner is structured. Therefore:"
"AP3_CORE_082","CORE_APTITUDE","MCQ","94","Some engineers are teachers. All teachers communicate clearly. Therefore:"
"AP3_CORE_083","CORE_APTITUDE","MCQ","95","If a strategy is data-driven, it is testable. This strategy is data-driven. Therefore:"
"AP3_CORE_084","CORE_APTITUDE","MCQ","96","All resilient learners reflect weekly. Aarav reflects weekly. Therefore:"
"APT_Q_06","DECISION","MCQ","6","When faced with a difficult problem, your first move is usually:"
"APT_Q_09","EXPLORATION","MCQ","9","How many career domains have you explored seriously?"
"APT_Q_04","INTEREST","MCQ","4","You are happiest when working on:"
"APT_Q_05","INTEREST","MCQ","5","Pick the activity you would voluntarily spend a weekend on."
"AP2_INT_01","INTEREST_WORK","MCQ","3","Which weekend project are you most likely to complete fully?"
"AP3_INT_001","INTEREST_WORK","MCQ","3","Interest mapping: Which project are you most likely to finish end-to-end?"
"AP2_INT_02","INTEREST_WORK","MCQ","10","Which work setup energizes you most?"
"AP3_INT_002","INTEREST_WORK","MCQ","10","Interest mapping: Which task naturally keeps you engaged for hours?"
"AP2_INT_03","INTEREST_WORK","MCQ","17","You prefer tasks where success is defined by:"
"AP2_INT_04","INTEREST_WORK","MCQ","24","Which cross-domain task feels most exciting?"
"AP2_INT_05","INTEREST_WORK","MCQ","31","You would rather spend two hours on:"
"AP2_INT_06","INTEREST_WORK","MCQ","34","When you see a difficult machine or system, your first thought is:"
"AP3_INT_003","INTEREST_WORK","MCQ","159","Interest mapping (robotics): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_004","INTEREST_WORK","MCQ","160","Interest mapping (biology models): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_005","INTEREST_WORK","MCQ","161","Interest mapping (mathematical puzzles): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_006","INTEREST_WORK","MCQ","162","Interest mapping (public speaking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_007","INTEREST_WORK","MCQ","163","Interest mapping (legal reasoning): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_008","INTEREST_WORK","MCQ","164","Interest mapping (data analysis): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_009","INTEREST_WORK","MCQ","165","Interest mapping (prototype building): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_010","INTEREST_WORK","MCQ","166","Interest mapping (business simulation): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_011","INTEREST_WORK","MCQ","167","Interest mapping (design thinking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_012","INTEREST_WORK","MCQ","168","Interest mapping (community problem solving): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_013","INTEREST_WORK","MCQ","169","Interest mapping (robotics): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_014","INTEREST_WORK","MCQ","170","Interest mapping (biology models): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_015","INTEREST_WORK","MCQ","171","Interest mapping (mathematical puzzles): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_016","INTEREST_WORK","MCQ","172","Interest mapping (public speaking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_017","INTEREST_WORK","MCQ","173","Interest mapping (legal reasoning): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_018","INTEREST_WORK","MCQ","174","Interest mapping (data analysis): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_019","INTEREST_WORK","MCQ","175","Interest mapping (prototype building): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_020","INTEREST_WORK","MCQ","176","Interest mapping (business simulation): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_021","INTEREST_WORK","MCQ","177","Interest mapping (design thinking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_022","INTEREST_WORK","MCQ","178","Interest mapping (community problem solving): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_023","INTEREST_WORK","MCQ","179","Interest mapping (robotics): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_024","INTEREST_WORK","MCQ","180","Interest mapping (biology models): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_025","INTEREST_WORK","MCQ","181","Interest mapping (mathematical puzzles): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_026","INTEREST_WORK","MCQ","182","Interest mapping (public speaking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_027","INTEREST_WORK","MCQ","183","Interest mapping (legal reasoning): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_028","INTEREST_WORK","MCQ","184","Interest mapping (data analysis): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_029","INTEREST_WORK","MCQ","185","Interest mapping (prototype building): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_030","INTEREST_WORK","MCQ","186","Interest mapping (business simulation): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_031","INTEREST_WORK","MCQ","187","Interest mapping (design thinking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_032","INTEREST_WORK","MCQ","188","Interest mapping (community problem solving): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_033","INTEREST_WORK","MCQ","189","Interest mapping (robotics): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_034","INTEREST_WORK","MCQ","190","Interest mapping (biology models): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_035","INTEREST_WORK","MCQ","191","Interest mapping (mathematical puzzles): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_036","INTEREST_WORK","MCQ","192","Interest mapping (public speaking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_037","INTEREST_WORK","MCQ","193","Interest mapping (legal reasoning): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_038","INTEREST_WORK","MCQ","194","Interest mapping (data analysis): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_039","INTEREST_WORK","MCQ","195","Interest mapping (prototype building): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_040","INTEREST_WORK","MCQ","196","Interest mapping (business simulation): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_041","INTEREST_WORK","MCQ","197","Interest mapping (design thinking): Which activity would you continue for 12 weeks by choice?"
"AP3_INT_042","INTEREST_WORK","MCQ","198","Interest mapping (community problem solving): Which activity would you continue for 12 weeks by choice?"
"AP2_LRN_01","LEARNING_BEHAVIOR","MCQ","5","You miss your study target for two days. What do you do next?"
"AP3_LRN_001","LEARNING_BEHAVIOR","MCQ","5","Learning behavior: You missed schedule for 2 days due to stress. What next?"
"AP2_LRN_02","LEARNING_BEHAVIOR","MCQ","12","How do you typically revise after class?"
"AP3_LRN_002","LEARNING_BEHAVIOR","MCQ","12","Learning behavior: Which habit improves exam stamina most?"
"AP2_LRN_03","LEARNING_BEHAVIOR","MCQ","19","During long exam preparation, your best habit is:"
"AP2_LRN_04","LEARNING_BEHAVIOR","MCQ","26","Which approach improves exam stamina most?"
"AP3_LRN_003","LEARNING_BEHAVIOR","MCQ","227","Learning behavior: Best response after a low-scoring mock test is:"
"AP3_LRN_004","LEARNING_BEHAVIOR","MCQ","228","Learning behavior: Best response during heavy school plus coaching weeks is:"
"AP3_LRN_005","LEARNING_BEHAVIOR","MCQ","229","Learning behavior: Best response when revision backlog starts accumulating is:"
"AP3_LRN_006","LEARNING_BEHAVIOR","MCQ","230","Learning behavior: Best response when one chapter repeatedly causes mistakes is:"
"AP3_LRN_007","LEARNING_BEHAVIOR","MCQ","231","Learning behavior: Best response when focus drops after 45 minutes is:"
"AP3_LRN_008","LEARNING_BEHAVIOR","MCQ","232","Learning behavior: Best response in final month before exams is:"
"AP3_LRN_009","LEARNING_BEHAVIOR","MCQ","233","Learning behavior: Best response after a low-scoring mock test is:"
"AP3_LRN_010","LEARNING_BEHAVIOR","MCQ","234","Learning behavior: Best response during heavy school plus coaching weeks is:"
"AP3_LRN_011","LEARNING_BEHAVIOR","MCQ","235","Learning behavior: Best response when revision backlog starts accumulating is:"
"AP3_LRN_012","LEARNING_BEHAVIOR","MCQ","236","Learning behavior: Best response when one chapter repeatedly causes mistakes is:"
"AP3_LRN_013","LEARNING_BEHAVIOR","MCQ","237","Learning behavior: Best response when focus drops after 45 minutes is:"
"AP3_LRN_014","LEARNING_BEHAVIOR","MCQ","238","Learning behavior: Best response in final month before exams is:"
"AP3_LRN_015","LEARNING_BEHAVIOR","MCQ","239","Learning behavior: Best response after a low-scoring mock test is:"
"AP3_LRN_016","LEARNING_BEHAVIOR","MCQ","240","Learning behavior: Best response during heavy school plus coaching weeks is:"
"AP3_LRN_017","LEARNING_BEHAVIOR","MCQ","241","Learning behavior: Best response when revision backlog starts accumulating is:"
"AP3_LRN_018","LEARNING_BEHAVIOR","MCQ","242","Learning behavior: Best response when one chapter repeatedly causes mistakes is:"
"AP3_LRN_019","LEARNING_BEHAVIOR","MCQ","243","Learning behavior: Best response when focus drops after 45 minutes is:"
"AP3_LRN_020","LEARNING_BEHAVIOR","MCQ","244","Learning behavior: Best response in final month before exams is:"
"AP3_LRN_021","LEARNING_BEHAVIOR","MCQ","245","Learning behavior: Best response after a low-scoring mock test is:"
"AP3_LRN_022","LEARNING_BEHAVIOR","MCQ","246","Learning behavior: Best response during heavy school plus coaching weeks is:"
"AP3_LRN_023","LEARNING_BEHAVIOR","MCQ","247","Learning behavior: Best response when revision backlog starts accumulating is:"
"AP3_LRN_024","LEARNING_BEHAVIOR","MCQ","248","Learning behavior: Best response when one chapter repeatedly causes mistakes is:"
"AP3_LRN_025","LEARNING_BEHAVIOR","MCQ","249","Learning behavior: Best response when focus drops after 45 minutes is:"
"AP3_LRN_026","LEARNING_BEHAVIOR","MCQ","250","Learning behavior: Best response in final month before exams is:"
"AP3_LRN_027","LEARNING_BEHAVIOR","MCQ","251","Learning behavior: Best response after a low-scoring mock test is:"
"AP3_LRN_028","LEARNING_BEHAVIOR","MCQ","252","Learning behavior: Best response during heavy school plus coaching weeks is:"
"AP3_LRN_029","LEARNING_BEHAVIOR","MCQ","253","Learning behavior: Best response when revision backlog starts accumulating is:"
"AP3_LRN_030","LEARNING_BEHAVIOR","MCQ","254","Learning behavior: Best response when one chapter repeatedly causes mistakes is:"
"APT_Q_01","LOGIC","MCQ","1","If all ROVERS are DRONES and some DRONES are CAMERAS, which statement must be true?"
"APT_Q_02","NUMERIC","MCQ","2","A student spends 30% time on math and 20% on science in a 10-hour study day. Total time for math + science?"
"APT_Q_07","READINESS","MCQ","7","How comfortable are you with foundational math (algebra, geometry, data)?"
"APT_Q_08","READINESS","MCQ","8","How often do you revise what you learn within 48 hours?"
"APT_Q_03","SPATIAL","MCQ","3","Which shape completes the pattern when a square rotates 90° clockwise each step?"
"AP2_VAL_01","VALUES_MOTIVATION","MCQ","4","Which matters most when selecting a career path right now?"
"AP3_VAL_001","VALUES_MOTIVATION","MCQ","4","Values check: Two paths offer same marks now. Which one do you choose?"
"AP2_VAL_02","VALUES_MOTIVATION","MCQ","11","If two options pay equally, you choose the one that:"
"AP3_VAL_002","VALUES_MOTIVATION","MCQ","11","Values check: Which statement is closest to your career mindset?"
"AP2_VAL_03","VALUES_MOTIVATION","MCQ","18","Which statement best matches your motivation style?"
"AP2_VAL_04","VALUES_MOTIVATION","MCQ","25","You are offered two projects: easy short-term versus difficult high-learning. You pick:"
"AP3_VAL_003","VALUES_MOTIVATION","MCQ","199","Values check: When results are slow but progress is real, what do you choose?"
"AP3_VAL_004","VALUES_MOTIVATION","MCQ","200","Values check: When a difficult project teaches more than an easy one, what do you choose?"
"AP3_VAL_005","VALUES_MOTIVATION","MCQ","201","Values check: When peer pressure conflicts with your plan, what do you choose?"
"AP3_VAL_006","VALUES_MOTIVATION","MCQ","202","Values check: When recognition is delayed despite disciplined effort, what do you choose?"
"AP3_VAL_007","VALUES_MOTIVATION","MCQ","203","Values check: When shortcuts are available but reduce understanding, what do you choose?"
"AP3_VAL_008","VALUES_MOTIVATION","MCQ","204","Values check: When you must choose between depth and speed, what do you choose?"
"AP3_VAL_009","VALUES_MOTIVATION","MCQ","205","Values check: When results are slow but progress is real, what do you choose?"
"AP3_VAL_010","VALUES_MOTIVATION","MCQ","206","Values check: When a difficult project teaches more than an easy one, what do you choose?"
"AP3_VAL_011","VALUES_MOTIVATION","MCQ","207","Values check: When peer pressure conflicts with your plan, what do you choose?"
"AP3_VAL_012","VALUES_MOTIVATION","MCQ","208","Values check: When recognition is delayed despite disciplined effort, what do you choose?"
"AP3_VAL_013","VALUES_MOTIVATION","MCQ","209","Values check: When shortcuts are available but reduce understanding, what do you choose?"
"AP3_VAL_014","VALUES_MOTIVATION","MCQ","210","Values check: When you must choose between depth and speed, what do you choose?"
"AP3_VAL_015","VALUES_MOTIVATION","MCQ","211","Values check: When results are slow but progress is real, what do you choose?"
"AP3_VAL_016","VALUES_MOTIVATION","MCQ","212","Values check: When a difficult project teaches more than an easy one, what do you choose?"
"AP3_VAL_017","VALUES_MOTIVATION","MCQ","213","Values check: When peer pressure conflicts with your plan, what do you choose?"
"AP3_VAL_018","VALUES_MOTIVATION","MCQ","214","Values check: When recognition is delayed despite disciplined effort, what do you choose?"
"AP3_VAL_019","VALUES_MOTIVATION","MCQ","215","Values check: When shortcuts are available but reduce understanding, what do you choose?"
"AP3_VAL_020","VALUES_MOTIVATION","MCQ","216","Values check: When you must choose between depth and speed, what do you choose?"
"AP3_VAL_021","VALUES_MOTIVATION","MCQ","217","Values check: When results are slow but progress is real, what do you choose?"
"AP3_VAL_022","VALUES_MOTIVATION","MCQ","218","Values check: When a difficult project teaches more than an easy one, what do you choose?"
"AP3_VAL_023","VALUES_MOTIVATION","MCQ","219","Values check: When peer pressure conflicts with your plan, what do you choose?"
"AP3_VAL_024","VALUES_MOTIVATION","MCQ","220","Values check: When recognition is delayed despite disciplined effort, what do you choose?"
"AP3_VAL_025","VALUES_MOTIVATION","MCQ","221","Values check: When shortcuts are available but reduce understanding, what do you choose?"
"AP3_VAL_026","VALUES_MOTIVATION","MCQ","222","Values check: When you must choose between depth and speed, what do you choose?"
"AP3_VAL_027","VALUES_MOTIVATION","MCQ","223","Values check: When results are slow but progress is real, what do you choose?"
"AP3_VAL_028","VALUES_MOTIVATION","MCQ","224","Values check: When a difficult project teaches more than an easy one, what do you choose?"
"AP3_VAL_029","VALUES_MOTIVATION","MCQ","225","Values check: When peer pressure conflicts with your plan, what do you choose?"
"AP3_VAL_030","VALUES_MOTIVATION","MCQ","226","Values check: When recognition is delayed despite disciplined effort, what do you choose?"
"APT_Q_10","WELLBEING","MCQ","10","Before exams, your stress level is usually:"
