Career_Cluster,Career_Name,Description,Required_Skills,Projected_Growth_India,Projected_Growth_Global,Relevant_Grades
AI/Tech,AI Engineer,Designs and develops AI systems,"Programming, Machine Learning, Data Analysis",1.4M by 2026,7x growth,8-10
AI/Tech,Prompt Engineer,Crafts prompts for AI models,"Language skills, Logic, Creativity",High demand in tech,Emerging,8-10
AI/Tech,AI Ethics Specialist,Ensures ethical AI use,"Ethics, Policy, Tech knowledge",Growing,35% increase,8-10
AI/Tech,Generative AI Specialist,Works with gen AI tools,"AI frameworks, Creativity",Part of 1.4M,High,8-10
Green/Sustainability,Sustainability Manager,Oversees eco practices,"Env science, Management",5-10M by 2030,50M+,8-10
Green/Sustainability,Renewable Energy Engineer,Designs renewable systems,"Engineering, Physics",500GW target,High,8-10
Green/Sustainability,ESG Analyst,Analyzes env/social/gov factors,"Finance, Data, Env knowledge",Booming,25%,8-10
Green/Sustainability,Green Hydrogen Engineer,Develops hydrogen tech,"Chemistry, Engineering",5-10M tonnes by 2030,Emerging,8-10
Green/Sustainability,Carbon Footprint Analyst,Tracks emissions,"Data analysis, Env science",Net-zero push,High,8-10
Healthcare/HealthTech,Health AI Developer,Builds AI for health,"AI, Biology, Programming",5M+ by 2030,35%,8-10
Healthcare/HealthTech,Biomedical Researcher,Researches medical tech,"Science, Research",Post-pandemic boom,High,8-10
Healthcare/HealthTech,Behavioural Therapist,Mental health support,"Psychology, Empathy",Growing,25%,8-10
Healthcare/HealthTech,Biotech Specialist,Works with bio tech,"Biology, Tech",High,35%,8-10
Data/Hybrid,Data Scientist,Analyzes data for insights,"Stats, Programming, ML",400K by 2030,25%,8-10
Data/Hybrid,Cybersecurity Analyst,Protects digital systems,"Security, Networking",Part of tech boom,High,8-10
Data/Hybrid,FinTech Engineer,Builds financial tech,"Finance, Programming",GCC 500K,25%,8-10
Data/Hybrid,EV Engineer,Designs electric vehicles,"Engineering, Electronics",EV push,High,8-10
Other Rising,Cloud Architect,Designs cloud systems,"Cloud tech, Architecture",500K GCC,6M AI jobs,8-10
Other Rising,Defense Manufacturing Specialist,Works in defense tech,"Engineering, Security",Growing,High,8-10
Other Rising,Intelligent Automation Expert,Automates processes with AI,"AI, Robotics",38M disrupted but new,97M new,8-10